Product Name,Price,Ratings,model_name,product_color,product_type,processor_name,processor_brand,ssd_capacity,ram_size,ram_type,graphic_processor,operating_system,screen_resolution,screen_size,Product_Url
"MSI Bravo 15 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 5500M/144 Hz) Bravo 15 B5DD-410IN Gaming Laptop  (15.6 inch, Black, 2.35 kg kg)","₹49,990",4.4,Bravo 15 B5DD,Black,Gaming Laptop,Ryzen 5 Hexa Core,AMD,512 GB,8 GB,DDR4,AMD Radeon RX 5500M,Windows 11 Home,1920 x 1080 Pixel,39.62 cm (15.6 inch),https://www.flipkart.com/msi-bravo-15-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=b558e15f-1575-41bd-899f-bebf02f2ec7d.COMGGHMQVWN6JJGC.SEARCH&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)","₹33,990",4.2,15ITL05,Platinum Grey,Thin and Light Laptop,Core i3,Intel,256 GB,8 GB,DDR4,Intel Integrated Integrated,Windows 11 Home,1920 x 1080 Pixel,39.62 cm (15.6 Inch),https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itm409e7356d6162?pid=COMGN29YGMXF5DNH&lid=LSTCOMGN29YGMXF5DNHZKTYJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=b558e15f-1575-41bd-899f-bebf02f2ec7d.COMGN29YGMXF5DNH.SEARCH&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS | X515EA-EJ328WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)","₹34,990",4.2,X515EA-EJ322WS | X515EA-EJ328WS,Transparent Silver,Thin and Light Laptop,Core i3,Intel,512 GB,8 GB,DDR4,Intel Integrated UHD,Windows 11 Home,1920 x 1080 Pixel,39.62 cm (15.6 Inch),https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-x515ea-ej328ws-thin-light-laptop/p/itmaafbc240a8774?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=b558e15f-1575-41bd-899f-bebf02f2ec7d.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"ASUS Vivobook 14 Touchscreen Intel P-Series Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-MW312WS Thin and Light Laptop  (14 Inch, Icelight Silver, 1.50 kg, With MS Office)","₹45,990",4.2,X1402ZA-MW312WS,Icelight Silver,Thin and Light Laptop,Core i3,Intel,512 GB,8 GB,DDR4,Intel Integrated UHD,Windows 11 Home,1920 x 1080 Pixel,35.56 cm (14 Inch),https://www.flipkart.com/asus-vivobook-14-touchscreen-intel-p-series-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-x1402za-mw312ws-thin-light-laptop/p/itme1ee0d5379b20?pid=COMGHF6JJ2DGQX6Z&lid=LSTCOMGHF6JJ2DGQX6ZURKAOH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_RTOKWgbPsRcMEmHXtbSvUpW8lNQ5%2FPgvJ0xi3GiV%2BVFC5Z0MtvWoYu1aTnO826P%2Bxjy%2BahTTPvly8V4%2FKwRQ8g%3D%3D&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L512WS Thin and Light Laptop  (15.6 Inch, Black, 1.80 kg, With MS Office)","₹46,990",4.4,KM513UA-L512WS,Black,Thin and Light Laptop,Ryzen 5 Hexa Core,AMD,512 GB,16 GB,DDR4,AMD Radeon AMD,Windows 11 Home,1920 x 1080 Pixel,39.62 cm (15.6 Inch),https://www.flipkart.com/asus-vivobook-k15-oled-ryzen-5-hexa-core-amd-r5-5500u-16-gb-512-gb-ssd-windows-11-home-km513ua-l512ws-thin-light-laptop/p/itma40e1d9d1a424?pid=COMGHF6JY8NYFVHC&lid=LSTCOMGHF6JY8NYFVHCTT2RHW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=b558e15f-1575-41bd-899f-bebf02f2ec7d.COMGHF6JY8NYFVHC.SEARCH&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"Lenovo Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 81WQ00MQIN|81WQ00NXIN Laptop  (15.6 Inch, Platinum Grey, 1.7 Kg, With MS Office)","₹29,990",4.1,15IGL05,Platinum Grey,Laptop,Celeron Dual Core,Intel,256 GB,8 GB,DDR4,Intel Integrated UHD Graphics 600,Windows 11 Home,1366 x 768 Pixels,39.62 cm (15.6 Inch),https://www.flipkart.com/lenovo-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-81wq00mqin-81wq00nxin-laptop/p/itm2560cd9192f02?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYLAIFLM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=b558e15f-1575-41bd-899f-bebf02f2ec7d.COMGDMXVJJB2HGMY.SEARCH&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 Kg, With MS Office)","₹54,990",4.2,15s-fq4021TU,Natural Silver,Thin and Light Laptop,Core i5,Intel,512 GB,8 GB,DDR4,Intel Integrated Iris Xe,Windows 11 Home,1920 x 1080 Pixel,39.62 cm (15.6 inch),https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5111tu-thin-light-laptop/p/itmbecf654716fd5?pid=COMGG63HGDTFCCGW&lid=LSTCOMGG63HGDTFCCGWLETTA9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=b558e15f-1575-41bd-899f-bebf02f2ec7d.COMGG63HGDTFCCGW.SEARCH&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Laptop  (11.6 Inch, Blue, 1.065 Kg, With MS Office)","₹14,990",4.2,Primebook 4G,Blue,Thin and Light Laptop,MediaTek MT8788,MediaTek,No value available,4 GB,LPDDR4,MediaTek Integrated ARM Mali G72,Prime OS,1366 x 768 Pixels,29.46 cm (11.6 Inch),https://www.flipkart.com/primebook-4g-android-based-mediatek-mt8788-4-gb-64-gb-emmc-storage-prime-os-thin-light-laptop/p/itmc0e03bf12ddbc?pid=COMGH2NKH3PBYNPM&lid=LSTCOMGH2NKH3PBYNPMXKYFW7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_RTOKWgbPsRcMEmHXtbSvUpW8lNQ5%2FPgvJ0xi3GiV%2BVEHuc%2BJXAXg%2FBdyQh1v962X7AH%2Bu%2F%2FL2PmpO0s42gPq7A%3D%3D&ppt=None&ppn=None&ssid=m14aoxewg00000001683143994509&qH=c06ea84a1e3dc3c6
"HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)","₹43,490",4.2,15s-fq5007TU,Natural Silver,Thin and Light Laptop,Core i3,Intel,512 GB,8 GB,DDR4,Intel Integrated UHD,Windows 11 Home,1920 x 1080 Pixels,39.62 cm (15.6 Inch),https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itm559f5c880dc4a?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_e6%2Bu29InYytva2SW7WeuJP2Tq5mdGggr5M37EHq9Qvq4zCM8OGgQz8kkilEeEnhmmvYMzDI5G6qwzwkgBnE3ig%3D%3D&ppt=None&ppn=None&ssid=lusou53t0w0000001683144036967&qH=c06ea84a1e3dc3c6
"HP Envy x360 Creator Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360-bf0121TU Thin and Light Laptop  (13.4 Inch, Natural Silver, 1.32 Kg, With MS Office)","₹83,990",4.7,x360-bf0121TU,Natural Silver,Thin and Light Laptop,Core i5,Intel,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,Windows 11 Home,1920 x 1200 Pixel,34.04 cm (13.4 Inch),https://www.flipkart.com/hp-envy-x360-creator-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-x360-bf0121tu-thin-light-laptop/p/itm4700fb37b6df3?pid=COMGH47NWT4HZFYP&lid=LSTCOMGH47NWT4HZFYPJT5O1U&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_e6%2Bu29InYytva2SW7WeuJP2Tq5mdGggr5M37EHq9QvqpUGrmXC3u60zE6bZsfSY6%2B1qoeAqhjXdiBk6qgmk8Yw%3D%3D&ppt=None&ppn=None&ssid=lusou53t0w0000001683144036967&qH=c06ea84a1e3dc3c6
