Product Name,Price,Ratings,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Dial Material,Ideal For,Compatible OS,Sensor,Compatible Device,Notification,Charge Time,Battery Life,Charger Type,Display Resolution,Display Size,Display Type,Call Features,Product_Url
"Noise Evolve 3 Bluetooth Calling with 1.43'' AMOLED Always-On Display, Metallic Design Smartwatch  (Black Strap, Regular)","₹2,799",4.4,"Evolve 3 Bluetooth Calling with 1.43'' AMOLED Always-On Display, Metallic Design",Black,Circle,Black,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Accelerometer, Hear Rate","iphone, Android",Smart Notification,No value available,7 Days,Magnetic Charger,466 x 466 pixel,36.32 mm,No value available,No value available,https://www.flipkart.com/noise-evolve-3-bluetooth-calling-1-43-amoled-always-on-display-metallic-design-smartwatch/p/itm36b6117652964?pid=SMWGGP58M2H75R6H&lid=LSTSMWGGP58M2H75R6HQDJ44Y&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2BmdiPlO6OmOCJjJ%2B1s2I%2FEISrqJplp3bvmrQg1kDaUCwQ%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Black Strap, Regular)","₹1,499",4.3,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Black,Circle,Black,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,Smart Notification,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available,https://www.flipkart.com/noise-crew-bluetooth-calling-smartwatch-1-38-round-display-metallic-finish/p/itm9b9a411d35470?pid=SMWGKXECDMVXFPGN&lid=LSTSMWGKXECDMVXFPGNJXOKI0&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2BlWcJgcHP%2Bq6uNdAZahqxqt6pcmuttTtQJcs5iaawsArg%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode Smartwatch  (Blue Strap, Regular)","₹1,499",4.2,"Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode",Blue,Rectangle,Blue,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",No value available,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-2-bluetooth-calling-1-8-display-ai-voice-assistant-60-sports-mode-smartwatch/p/itmadb5bf0ef4cdc?pid=SMWGEH7VV8B3H8Y6&lid=LSTSMWGEH7VV8B3H8Y6IAVT9G&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGEH7VV8B3H8Y6.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Black Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Black,Rectangle,Black,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itmd8257a482e5d5?pid=SMWGAU62XCAESACH&lid=LSTSMWGAU62XCAESACHHEGULG&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGAU62XCAESACH.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"boAt Storm call 1.69 inch HD display with Bluetooth Calling & 550 Nits Brightness Smartwatch  (Pink Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with Bluetooth Calling & 550 Nits Brightness,No value available,Rectangle,Pink,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGNFSFHYHP4UAU&lid=LSTSMWGNFSFHYHP4UAUVO0Z7S&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGNFSFHYHP4UAU.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Ambrane Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking Smartwatch  (Black Strap, Regular)","₹1,099",4.2,"Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking",No value available,Circle,Black,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Sedentary Alert, Weather, Alarm, Timer, Flashlight, Find Phone",IOS 10 & above Android 6 & above BT-5.0,No value available,No value available,10 Days,No value available,240*240 pixel,32.512 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-roam-1-28-full-hd-display-bluetooth-calling-complete-health-tracking-smartwatch/p/itm4bacccc2329e7?pid=SMWGETFQBP8ZR3TY&lid=LSTSMWGETFQBP8ZR3TYPDLALY&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGETFQBP8ZR3TY.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Ambrane Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking Smartwatch  (Grey Strap, Regular)","₹1,099",4.2,"Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking",No value available,Circle,Grey,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Sedentary Alert, Weather, Alarm, Timer, Flashlight, Find Phone",IOS 10 & above Android 6 & above BT-5.0,No value available,No value available,10 Days,No value available,240*240 pixel,32.512 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-roam-1-28-full-hd-display-bluetooth-calling-complete-health-tracking-smartwatch/p/itm4bacccc2329e7?pid=SMWGETFPVG7FDDY6&lid=LSTSMWGETFPVG7FDDY6E4EQHW&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGETFPVG7FDDY6.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Boult Striker 1.3"" HD, Bluetooth Calling, Complete Health Tracking, 150+ Watch Faces Smartwatch  (Black Strap, Free Size)","₹1,299",4.2,"Striker 1.3"" HD, Bluetooth Calling, Complete Health Tracking, 150+ Watch Faces",Multicolour,Circle,Black,Silicone,Free Size,Yes,Yes,1 m,No value available,Men & Women,Android & iOS,"Real Heart rate, Real SPO2, Pedometer",No value available,"Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder",120 min,Upto 7 days,Magnetic Charging Cable,240 x 240 Pixels,1.3 Inch,TFT LED,No value available,https://www.flipkart.com/boult-striker-1-3-hd-bluetooth-calling-complete-health-tracking-150-watch-faces-smartwatch/p/itm1075659dbff53?pid=SMWGHSDHHH2Z2JKZ&lid=LSTSMWGHSDHHH2Z2JKZCCX8TC&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2Bm7nWlChTZ3kpGZMn9raphWfUUB%2BHj3xv2ievKYf555ew%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Ambrane Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking Smartwatch  (Green Strap, Regular)","₹1,099",4.2,"Wise-roam 1.28"" Full HD display,bluetooth calling and complete health tracking",No value available,Circle,Green,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Sedentary Alert, Weather, Alarm, Timer, Flashlight, Find Phone",IOS 10 & above Android 6 & above BT-5.0,No value available,No value available,10 Days,No value available,240*240 pixel,32.512 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-roam-1-28-full-hd-display-bluetooth-calling-complete-health-tracking-smartwatch/p/itm4bacccc2329e7?pid=SMWGETFPHWQWHVEG&lid=LSTSMWGETFPHWQWHVEG6UFUIZ&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGETFPHWQWHVEG.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch  (Black Strap, Regular)",₹999,4.2,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Black,Square,Black,Silicone,Regular,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,3 Axis,"iPhone, Android Smartphones",Smart Notification,No value available,15 Days,Magnetic Charger,240 x 280 pixel,43 mm,TFT,No value available,https://www.flipkart.com/noise-colorfit-caliber-smart-watch-15-day-battery-1-69-display-60-sports-modes-smartwatch/p/itm21dca40c77bbe?pid=SMWG9UKPHDH47DWK&lid=LSTSMWG9UKPHDH47DWKIUPP6A&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&spotlightTagId=FkPickId_ajy%2Fbuh&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWG9UKPHDH47DWK.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Deep Wine Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Gold,Rectangle,Deep Wine,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itm97ed45d805b0e?pid=SMWGGKT2ZVSZHGHH&lid=LSTSMWGGKT2ZVSZHGHHP9C6FZ&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGGKT2ZVSZHGHH.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch  (Blue Strap, Free Size)",₹999,4,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, SpO2, Heart Rate",Mobile,No value available,No value available,Upto 7 Days,No value available,454 x 454 Pixels,43 mm,No value available,No value available,https://www.flipkart.com/boat-wave-neo-1-69-inch-2-5d-curved-display-multiple-sports-modes-smartwatch/p/itm25cb8d4c5313f?pid=SMWGD7HJBMSDYZCG&lid=LSTSMWGD7HJBMSDYZCGHLS01J&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2BkQ7q2Perwo55p6HbJD%2F3bvM0CtHlhDQdOKX0Nlr5NqIg%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Blue Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5D9YKF7HJ&lid=LSTSMWGHYF5D9YKF7HJUYBWXQ&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGHYF5D9YKF7HJ.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Green Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Green,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5Z5JZBRY5&lid=LSTSMWGHYF5Z5JZBRY5DVPQXU&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGHYF5Z5JZBRY5.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Black Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5FXGPBV6A&lid=LSTSMWGHYF5FXGPBV6ANW6W6Q&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGHYF5FXGPBV6A.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Evolve 3 Bluetooth Calling with 1.43'' AMOLED Always-On Display, Metallic Design Smartwatch  (Blue Strap, Regular)","₹2,799",4.4,"Evolve 3 Bluetooth Calling with 1.43'' AMOLED Always-On Display, Metallic Design",Silver,Circle,Blue,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Accelerometer, Hear Rate","iphone, Android",Smart Notification,No value available,7 Days,Magnetic Charger,466 x 466 pixel,36.32 mm,No value available,No value available,https://www.flipkart.com/noise-evolve-3-bluetooth-calling-1-43-amoled-always-on-display-metallic-design-smartwatch/p/itmcb83170e4bfa8?pid=SMWGGP3DND5QXRBE&lid=LSTSMWGGP3DND5QXRBEG5BOWV&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2BkA%2FwZS%2BpsHOEwW%2BCYA64n6vyryDVpHHhSjIAywKa3Q1g%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode Smartwatch  (Glossy Black Strap, Regular)","₹1,499",4.2,"Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode",Gold,Rectangle,Glossy Black,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",No value available,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-2-bluetooth-calling-1-8-display-ai-voice-assistant-60-sports-mode-smartwatch/p/itm339ed82cec89e?pid=SMWGEH7V3NRGVPQ9&lid=LSTSMWGEH7V3NRGVPQ9LIOCW6&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGEH7V3NRGVPQ9.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Green Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Gold,Rectangle,Green,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate",Android 5.1 or above & iOS 8.0 0r above,"Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itm9df84bc44db28?pid=SMWGAU62CGWPUTJY&lid=LSTSMWGAU62CGWPUTJYSU4WU1&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGAU62CGWPUTJY.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Ambrane Wise Eon Pro1.85 lucid display with BT calling Smartwatch  (Green Strap, Regular)",₹999,4.2,Wise Eon Pro1.85 lucid display with BT calling,No value available,Square,Green,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"SpO2, 24*7 Heart Rate Monitoring, Blood Pressure, High Heart Rate Alert",No value available,No value available,No value available,10 Days,No value available,240*280 pixel,46.99 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-eon-pro1-85-lucid-display-bt-calling-smartwatch/p/itm7d5ef2cdb9d59?pid=SMWGGHZ8S63KRGHZ&lid=LSTSMWGGHZ8S63KRGHZRCKECK&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGGHZ8S63KRGHZ.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Boult Rover 1.3"" HD AMOLED, Free Straps, Bluetooth Calling, Zinc Alloy Frame, 600Nits Smartwatch  (Classic Switch Strap, Free Size)","₹1,999",4.3,"Rover 1.3"" HD AMOLED, Free Straps, Bluetooth Calling, Zinc Alloy Frame, 600Nits",Multicolor,Circle,Classic Switch,Silicone,Free Size,Yes,Yes,1.5 m,Zinc Alloy,Men & Women,Android & iOS,"Real Heart Rate, Real SPO2, Pedometer",Android and iOS,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder",120 min,Upto 7 Days,Magnetic Charging Cable,No value available,No value available,No value available,No value available,https://www.flipkart.com/boult-rover-1-3-hd-amoled-free-straps-bluetooth-calling-zinc-alloy-frame-600nits-smartwatch/p/itm10d09a655c971?pid=SMWGKFV6M3RFMHAS&lid=LSTSMWGKFV6M3RFMHASV3KVRK&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2BmyiCOIihpzyjzubh2GGRkAtM5qTPWvElhFLbe%2FnNynWw%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Ambrane Wise Eon Pro1.85 lucid display with BT calling Smartwatch  (Blue Strap, Regular)",₹999,4.2,Wise Eon Pro1.85 lucid display with BT calling,No value available,Square,Blue,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"SpO2, 24*7 Heart Rate Monitoring, Blood Pressure, High Heart Rate Alert",No value available,No value available,No value available,10 Days,No value available,240*280 pixel,46.99 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-eon-pro1-85-lucid-display-bt-calling-smartwatch/p/itm7d5ef2cdb9d59?pid=SMWGGHZ8DQNJYEGR&lid=LSTSMWGGHZ8DQNJYEGRCFYQ1H&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGGHZ8DQNJYEGR.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Ambrane Wise Eon Pro1.85 lucid display with BT calling Smartwatch  (Black Strap, Regular)",₹999,4.2,Wise Eon Pro1.85 lucid display with BT calling,No value available,Square,Black,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"SpO2, 24*7 Heart Rate Monitoring, Blood Pressure, High Heart Rate Alert",No value available,No value available,No value available,10 Days,No value available,240*280 pixel,46.99 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-eon-pro1-85-lucid-display-bt-calling-smartwatch/p/itm7d5ef2cdb9d59?pid=SMWGGHZ82UNWNURA&lid=LSTSMWGGHZ82UNWNURAONE8YS&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGGHZ82UNWNURA.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Grey Strap, Regular)","₹1,499",4.3,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Silver,Circle,Grey,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,Smart Notification,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available,https://www.flipkart.com/noise-crew-bluetooth-calling-smartwatch-1-38-round-display-metallic-finish/p/itm5f4d52abd44d3?pid=SMWGKXEDE8QYBG3S&lid=LSTSMWGKXEDE8QYBG3SK7KFR6&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&spotlightTagId=TrendingId_ajy%2Fbuh&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGKXEDE8QYBG3S.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Fire-Boltt Ninja Pro Max 1.83"" Display with SpO2, Heart Rate & Ultra Thin 9.5mm Body Smartwatch  (Rose Gold Strap, Free Size)","₹1,099",4,"Ninja Pro Max 1.83"" Display with SpO2, Heart Rate & Ultra Thin 9.5mm Body",Rose Gold,Square,Rose Gold,Silicone,Free Size,Yes,Yes,1 mm,No value available,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",No value available,Yes,120 min,Upto 8 days,USB Cable With Metalic Charging Points,240 x 284 Pixel,1.83 Inch,TFT LED,Incoming Call Vibrate Alert,https://www.flipkart.com/fire-boltt-ninja-pro-max-1-83-display-spo2-heart-rate-ultra-thin-9-5mm-body-smartwatch/p/itmc876078231d3b?pid=SMWGG5GFDQF2GUBH&lid=LSTSMWGG5GFDQF2GUBHJFSIVX&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_3DrEp5rKnhKOAwPp5Sl907v%2FwYLf%2FDbj7xGNk29mC%2BloODlgMtqQ%2Bwyfjo9acvj7DtCBuSp7YOOOz3ZiIgrnkQ%3D%3D&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Pink Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Gold,Rectangle,Pink,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itm6af342892788a?pid=SMWGGKSZAPFFJDHK&lid=LSTSMWGGKSZAPFFJDHKWFUK9W&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=61825369-91a2-49d0-9be0-5890bab8af49.SMWGGKSZAPFFJDHK.SEARCH&ppt=None&ppn=None&ssid=2ysh6x5o3k0000001683229477829&qH=acc05e33fb140cc4
