Product Name,Price,Ratings,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Dial Material,Ideal For,Compatible OS,Sensor,Compatible Device,Notification,Charge Time,Battery Life,Charger Type,Display Resolution,Display Size,Display Type,Call Features,Product_Url
"Noise Force Plus BT Calling with 1.46''AMOLED display,rugged build, always on display Smartwatch  (Black Strap, Regular)","₹3,999",4.7,"Force Plus BT Calling with 1.46''AMOLED display,rugged build, always on display",Black,Circle,Black,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2",No value available,Smart Notifications,No value available,Upto 7 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/noise-force-plus-bt-calling-1-46-amoled-display-rugged-build-always-display-smartwatch/p/itm78c4564f6cf22?pid=SMWGNHJ8QJN9N9GZ&lid=LSTSMWGNHJ8QJN9N9GZDAPIUO&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGNHJ8QJN9N9GZ.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch  (Pink Gold Strap, Free Size)","₹1,299",4.1,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes",Silver,Circle,Pink Gold,Silicone,Free Size,Yes,Yes,1 m,Zink Alloy,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 Min,"7 days normal, 15 days standby",USB Cable With Metalic Charging Points,240 x 240 Pixels,1.3 mm,TFT LED,"Reject Calls, Silent Calls",https://www.flipkart.com/fire-boltt-hurricane-1-3-curved-glass-display-360-health-training-100-sports-modes-smartwatch/p/itm246c63f06b309?pid=SMWGD53JYHARHHGH&lid=LSTSMWGD53JYHARHHGHFEHVHC&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGD53JYHARHHGH.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Green Strap, Regular)","₹1,499",4.3,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Silver,Circle,Green,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,No value available,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available,https://www.flipkart.com/noise-crew-bluetooth-calling-smartwatch-1-38-round-display-metallic-finish/p/itm49f2951ca41b2?pid=SMWGKXECTHSJXNUP&lid=LSTSMWGKXECTHSJXNUPQFCT4X&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGKXECTHSJXNUP.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling Smartwatch  (Black Strap, Free Size)","₹3,999",4.4,"Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling",No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,Accelerometer,No value available,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifications, Other App Notification",60 min,Upto 7 Days,Pogo Pin Charging Cable,410 x 502 Pixels,1.96 inch,Super AMOLED,"Call Answer, Call Reject, Call Mute, Call Notifications",https://www.flipkart.com/fastrack-revoltt-fs1-pro-world-s-first-1-96-super-amoled-highest-resolution-bt-calling-smartwatch/p/itmb29332b61321a?pid=SMWGZ835PYX4HJGR&lid=LSTSMWGZ835PYX4HJGRCFZKL9&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_QEy2ko1BnLsg5ggEfNh3VrGBjiR4MvoA6vO4vG5Ez8GQdERL8L0i0tHGBVrIO5TtHrP%2FInkR56HoXF8YMfn0FQ%3D%3D&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch  (Burgundy Strap, Free Size)",₹999,4,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",No value available,Rectangle,Burgundy,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, SpO2, Heart Rate",Mobile,No value available,No value available,Upto 7 Days,No value available,454 x 454 Pixels,43 mm,No value available,No value available,https://www.flipkart.com/boat-wave-neo-1-69-inch-2-5d-curved-display-multiple-sports-modes-smartwatch/p/itm25cb8d4c5313f?pid=SMWGD7MCJZGZBANX&lid=LSTSMWGD7MCJZGZBANXYFIDDT&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGD7MCJZGZBANX.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch  (Pink Strap, Free Size)","₹1,499",4.2,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",Pink,Square,Pink,Silicone,Free Size,Yes,Yes,1 m,No value available,Men & Women,Android & iOS,"Buetooth Calling, SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 minutes,Upto 5 Days,USB Cable With Metalic Charging Points - 2 Pin Magnetic Cable,240 x 286 Pixel,1.83 Inch,IPS LCD,"Bluetooth Calling function, Dial Pad, Contacts, Call History, Recent Calls",https://www.flipkart.com/fire-boltt-ninja-calling-pro-plus-1-83-inch-display-smartwatch-bluetooth-calling-ai-voice/p/itmdf55f3ccff677?pid=SMWGGZ74YP5VGYEN&lid=LSTSMWGGZ74YP5VGYENMZOMUJ&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGGZ74YP5VGYEN.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Noise Loop Advanced Bluetooth Calling with 1.85'' Display, 550 Nits Brightness Smartwatch  (Black Strap, Regular)","₹1,499",4.2,"Loop Advanced Bluetooth Calling with 1.85'' Display, 550 Nits Brightness",Black,Square,Black,Silicone,Regular,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,"Accelerometer , Heart Rate",No value available,"Smart Notifications (Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts",No value available,7 Days,Magnetic Charger,240 x 284 pixel,46.99 mm,TFT,"Mute Calls, Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-loop-advanced-bluetooth-calling-1-85-display-550-nits-brightness-smartwatch/p/itmfe1f851bb6a19?pid=SMWGG6GFSWZDVG57&lid=LSTSMWGG6GFSWZDVG57ZFZIUI&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGG6GFSWZDVG57.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Noise Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode Smartwatch  (Pink Strap, Regular)","₹1,499",4.2,"Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode",Gold,Rectangle,Pink,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",No value available,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-2-bluetooth-calling-1-8-display-ai-voice-assistant-60-sports-mode-smartwatch/p/itmfe45522801307?pid=SMWGEH7VNGPYN5NV&lid=LSTSMWGEH7VNGPYN5NVMOZGQP&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_QEy2ko1BnLsg5ggEfNh3VrGBjiR4MvoA6vO4vG5Ez8HLUKh8lHOv1mZxel22JPe3ntVbHUla2UKyGyBVw124WQ%3D%3D&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Midnight Gold Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Gold,Rectangle,Midnight Gold,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate",Android 5.1 or above & iOS 8.0 0r above,"Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itm8e2dc3457a808?pid=SMWGAU62KKN892B7&lid=LSTSMWGAU62KKN892B7CDMOJ1&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGAU62KKN892B7.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
"Fastrack Revoltt FS1|1.83"" Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Black Strap, Free Size)","₹1,999",4.3,"Revoltt FS1|1.83"" Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces",No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,Accelerometer,No value available,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",45 min,Upto 7 days,Pogo Pin Charging Cable,240 x 284 Pixel,1.83 Inch,LCD,"Call Answer, Call Reject, Call Mute, Call Notifications",https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm218bea024d2aa?pid=SMWGN4YEWGNZ2GGM&lid=LSTSMWGN4YEWGNZ2GGMLUF0DF&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=3459b272-6183-4952-8161-71fb601000e6.SMWGN4YEWGNZ2GGM.SEARCH&ppt=None&ppn=None&ssid=6deqb22c5c0000001683231868181&qH=acc05e33fb140cc4
