ProductName,Price,Ratings,Capacity in tons,ModelName,ProductType,Brand,ProductColor,CoolingCapacity,Compressor,RemoteControl,DustFilter,PowerRequirement,PowerConsumption,Product_Url
"MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (153SIAA22BW, Copper Condenser)","₹28,999",4.1,1.5 Ton,153SIAA22BW,Split,MarQ by Flipkart,White,5115 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",1620 W,https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm468809f2be7ea?pid=ACNGKYHZG7FHR46Z&lid=LSTACNGKYHZG7FHR46ZQO3GLX&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGKYHZG7FHR46Z.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalizer Free Operation, Self Diagnosis, Dust Filter AC  - White  (IC518YNU, Copper Condenser)","₹43,490",4.2,1.5 Ton,IC518YNU,Split,Blue Star,White,5000 W,Inverter Rotary,Yes,Yes,"AC 230 V, 50 Hz",770.98 W,https://www.flipkart.com/blue-star-convertible-5-1-cooling-2023-model-1-5-ton-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itm466ad0792a882?pid=ACNGMA7HFKHFHU59&lid=LSTACNGMA7HFKHFHU59N6MLML&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_U7E94j%2BJXxwANoNU4BFNiciez8ZlhuXTeat2ImMT15nrb9tnaH9pJOaLt3PaZxmEbGsSTF7UVdXK2mXPxP6F9Q%3D%3D&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (153SIAA22BW2, Copper Condenser)","₹28,499",4.1,1.5 Ton,153SIAA22BW2,Split,MarQ by Flipkart,White,4900 W,Rotary,Yes,Yes,"AC 220 - 240 V, 50 Hz",1660 W,https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm5ed62004ffc2f?pid=ACNGKYHZJGTVAGPK&lid=LSTACNGKYHZJGTVAGPKPLMDJD&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGKYHZJGTVAGPK.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"CARRIER Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Flexicool Inverter Dual Filtration with HD & PM 2.5 Filter AC  - White  (18K ESTER EXi INVERTER R32 SPLIT AC_CAI18ES5R33F0, Copper Condenser)","₹41,999",4.1,1.5 Ton,18K ESTER EXi INVERTER R32 SPLIT AC_CAI18ES5R33F0,Split,CARRIER,White,5000 W,High EER Rotary,Yes,Yes,"AC 230 V, 50 Hz",1260 W,https://www.flipkart.com/carrier-convertible-6-in-1-cooling-2023-model-1-5-ton-5-star-split-ai-flexicool-inverter-dual-filtration-hd-pm-2-5-filter-ac-white/p/itm8dc8edb78e6c5?pid=ACNGHMTYGHQ2PJJH&lid=LSTACNGHMTYGHQ2PJJH2U5DHD&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGHMTYGHQ2PJJH.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filter with Anti-Virus Protection AC  - Silver Deco  (RS-Q19RNZE, Copper Condenser)","₹45,490",4.2,1.5 Ton,RS-Q19RNZE,Split,LG,Silver Deco,4600 W,Dual Rotary Compressor,Yes,No value available,No value available,No value available,https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-1-5-ton-5-star-split-dual-inverter-4-way-swing-hd-filter-anti-virus-protection-ac-silver-deco/p/itma02603660f1f1?pid=ACNGHBX4GHTPKYYG&lid=LSTACNGHBX4GHTPKYYGY8WHCO&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGHBX4GHTPKYYG.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"realme TechLife 2023 Range 1 Ton 5 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technology AC  - White  (105SIAA22BWR, Copper Condenser)","₹29,999",4.1,1 Ton,105SIAA22BWR,Split,realme TechLife,White,3450 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",840 W,https://www.flipkart.com/realme-techlife-2023-range-1-ton-5-star-split-inverter-4-in-1-convertible-flexi-control-technology-ac-white/p/itmda5ea81fa31df?pid=ACNGKYHZJDAHVJUZ&lid=LSTACNGKYHZJDAHVJUZZAHIWQ&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_U7E94j%2BJXxwANoNU4BFNiciez8ZlhuXTeat2ImMT15nK55Rhf0jM1rH%2FfWKgu1RCrrt5A%2FFV5UpWyCKbKvr8qA%3D%3D&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White  (CS/CU-NU18YKY5W, Copper Condenser)","₹44,490",4.3,1.5 Ton,CS/CU-NU18YKY5W,Split,Panasonic,White,5100 W,Inverter Compressor,Yes,No value available,No value available,No value available,https://www.flipkart.com/panasonic-1-5-ton-5-star-split-inverter-ac-wi-fi-connect-white/p/itm86cc4ea6a661d?pid=ACNGHHH2YUCDY9AZ&lid=LSTACNGHHH2YUCDY9AZ1UBDVJ&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGHHH2YUCDY9AZ.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"MarQ by Flipkart 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (155SIAA22W., Copper Condenser)","₹29,999",4.1,1.5 Ton,155SIAA22W.,Split,MarQ by Flipkart,White,5100 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",1365 W,https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-4-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itmc5cf16283e54b?pid=ACNGH7EZ2ZHHGQ6H&lid=LSTACNGH7EZ2ZHHGQ6HJNCNFH&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGH7EZ2ZHHGQ6H.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Lloyd 1.5 Ton 3 Star Split Inverter AC  - White  (GLS18I3FWAEV, Copper Condenser)","₹32,499",4.3,1.5 Ton,GLS18I3FWAEV,Split,Lloyd,White,5050 W,Rotary,Yes,Yes,"AC 230 V, 50 Hz",1002.76 W,https://www.flipkart.com/lloyd-1-5-ton-3-star-split-inverter-ac-white/p/itmafd63be96ebad?pid=ACNGHTGZEYUEDZ3B&lid=LSTACNGHTGZEYUEDZ3BDMQ9BR&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGHTGZEYUEDZ3B.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"CARRIER 1 Ton 3 Star Window 2 Way Air Directional control with Dust Filter(2023 Model) AC  - White  (CAW12SC3R32F0, Copper Condenser)","₹27,999",4.3,1 Ton,CAW12SC3R32F0,Window,CARRIER,White,3600 W,High EER Rotary,Yes,Yes,"AC 230 V, 50 Hz",870.87 W,https://www.flipkart.com/carrier-1-ton-3-star-window-2-way-air-directional-control-dust-filter-2023-model-ac-white/p/itma3197ca489099?pid=ACNGNFYVQWDAZRNG&lid=LSTACNGNFYVQWDAZRNGAE320K&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_U7E94j%2BJXxwANoNU4BFNiciez8ZlhuXTeat2ImMT15nCAOVlJHIQcfDvM8ksQgwSClfMhNl%2BglG8V9AuXhdnJw%3D%3D&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split AI Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection AC  - White  (RS-Q19ENXE, Copper Condenser)","₹37,990",4.1,1.5 Ton,RS-Q19ENXE,Split,LG,White,5000 W,Dual Rotary Compressor,Yes,No value available,No value available,No value available,https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-1-5-ton-3-star-split-dual-inverter-2-way-swing-hd-filter-anti-virus-protection-ac-white/p/itm832098a941398?pid=ACNGHBX44THKQGZQ&lid=LSTACNGHBX44THKQGZQSXO8S3&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGHBX44THKQGZQ.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super Anti-corrosion AC  - White  (HS17V-TMS3BE-INV/HU17-3BE-INV, Copper Condenser)","₹31,990",3.9,1.5 Ton,HS17V-TMS3BE-INV/HU17-3BE-INV,Split,Haier,White,4600 W,Inverter,Yes,No value available,No value available,No value available,https://www.flipkart.com/haier-frost-self-clean-2023-model-1-5-ton-3-star-split-inverter-cooling-extreme-temperature-super-anti-corrosion-ac-white/p/itm7d52466be297e?pid=ACNGMF2GSYP7KKNP&lid=LSTACNGMF2GSYP7KKNPTVTN4S&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGMF2GSYP7KKNP.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White  (RKM50UV16U/MTKM50UV16U/RKM50UV16V/MTKM50UV16V, Copper Condenser)","₹45,490",4.2,1.5 Ton,RKM50UV16U/MTKM50UV16U/RKM50UV16V/MTKM50UV16V,Split,Daikin,White,5280 W,Swing Compressor,Yes,Yes,"AC 130 - 285 V, 50 Hz",1325 W,https://www.flipkart.com/daikin-1-5-ton-5-star-split-inverter-ac-pm-2-5-filter-white/p/itm84f4a6e1680e9?pid=ACNGB2YAZEB79THV&lid=LSTACNGB2YAZEB79THVLGIGWW&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGB2YAZEB79THV.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White  (AR12CYLZAGE/AR12CYLZAGENNA/AR12CYLZAGEXNA, Copper Condenser)","₹32,990",3.9,1 Ton,AR12CYLZAGE/AR12CYLZAGENNA/AR12CYLZAGEXNA,Split,SAMSUNG,White,3300 W,Digital Inverter Compressor,Yes,Yes,"AC 230 V, 50 Hz",624.48 W,https://www.flipkart.com/samsung-convertible-5-in-1-cooling-2023-model-1-ton-3-star-split-inverter-ac-wi-fi-connect-white/p/itm3b96aa23a2f49?pid=ACNGHRDQSTQ6GBFV&lid=LSTACNGHRDQSTQ6GBFVBF0F6Y&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_U7E94j%2BJXxwANoNU4BFNiciez8ZlhuXTeat2ImMT15lg6jCJXisj1y6ZiySISZl25k81eTQ81WtPluB8NPhy2A%3D%3D&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue Fin Anti Corrosive Coating AC  - White  (AC 1T EI 12TINV3R32-GWA & AC 1T EI 12TINV3R32-GWAA, Copper Condenser)","₹28,990",4.1,1 Ton,AC 1T EI 12TINV3R32-GWA & AC 1T EI 12TINV3R32-GWAA,Split,Godrej,White,3500 W,Single Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-ton-3-star-split-inverter-i-sense-technology-blue-fin-anti-corrosive-coating-ac-white/p/itm9894663a85b9f?pid=ACNGK96ZFHGYYGNG&lid=LSTACNGK96ZFHGYYGNGNFIDPC&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGK96ZFHGYYGNG.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambience Light R 32 AC  - White  (RAS.G318PCAIBFE (RAK.G318PCAIBFE / RAC.318WCAIE), Copper Condenser)","₹37,999",3.9,1.5 Ton,RAS.G318PCAIBFE (RAK.G318PCAIBFE / RAC.318WCAIE),Split,Hitachi,White,5190 W,Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/hitachi-ice-clean-frost-wash-technology-2023-model-1-5-ton-3-star-split-inverter-xpandable-plus-ambience-light-r-32-ac-white/p/itm41f690027a5d2?pid=ACNGMMGSE5ZTW8SH&lid=LSTACNGMMGSE5ZTW8SHFNBK2A&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGMMGSE5ZTW8SH.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"Lloyd 0.8 Ton 3 Star Split Inverter AC  - White  (GLS09I3FWSEV, Copper Condenser)","₹26,999",4.2,0.8 Ton,GLS09I3FWSEV,Split,Lloyd,White,2700 W,Rotary,Yes,Yes,"AC 230 V, 50 Hz",549.06 W,https://www.flipkart.com/lloyd-0-8-ton-3-star-split-inverter-ac-white/p/itmdf3ad67d01439?pid=ACNGHTGZZBBQ9AAX&lid=LSTACNGHTGZZBBQ9AAX44VIEO&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=8f69b8fb-82dc-4282-a410-0b2071d8884e.ACNGHTGZZBBQ9AAX.SEARCH&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filter with Anti-Virus Protection AC with Wi-fi Connect  - Floral  (RS-Q19FWZE, Copper Condenser)","₹49,490",4.2,1.5 Ton,RS-Q19FWZE,Split,LG,Floral,4600 W,Dual Rotary Compressor,Yes,No value available,No value available,No value available,https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-1-5-ton-5-star-split-dual-inverter-4-way-swing-hd-filter-anti-virus-protection-ac-wi-fi-connect-floral/p/itm5ab38593a3b1e?pid=ACNGHBX4CZGHZD4Z&lid=LSTACNGHBX4CZGHZD4ZKNWZLT&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_U7E94j%2BJXxwANoNU4BFNiciez8ZlhuXTeat2ImMT15kz94DIEy1qD2acKb%2FFBkrPjfIe8mxode5XYY2hLxdkgA%3D%3D&ppt=None&ppn=None&ssid=vgmbvcjaxs0000001683143030938&qH=fb2a25a33265e1ef
"MarQ by Flipkart 2023 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (103SIAA22BW, Copper Condenser)","₹26,499",4.1,1 Ton,103SIAA22BW,Split,MarQ by Flipkart,White,3500 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",1115 W,https://www.flipkart.com/marq-flipkart-2023-range-1-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm7d81fe7d20936?pid=ACNGKYHZUDEUBFD3&lid=LSTACNGKYHZUDEUBFD3CUBTNO&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_BZRt%2Fxd%2Bz7f45%2FmEGwycDthzGun9dgRfCuyj7wS3NQzVSzlWjI%2ByxAEtkmS67hVfpOsoLgnVvukqHqBgt3Iaeg%3D%3D&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"realme TechLife 1.5 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White  (155SIAA22BWRS, Copper Condenser)","₹33,499",3.4,1.5 Ton,155SIAA22BWRS,Split,realme TechLife,White,5100 W,Smart Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",770.08 W,https://www.flipkart.com/realme-techlife-1-5-ton-5-star-split-inverter-smart-ac-wi-fi-connect-white/p/itm19976fcefe5e8?pid=ACNGKYHZBY5WHRAM&lid=LSTACNGKYHZBY5WHRAMINPCJJ&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_BZRt%2Fxd%2Bz7f45%2FmEGwycDthzGun9dgRfCuyj7wS3NQwlruwlBcpXsem9yvSScqE50iXPkcW2VtQse0hERaGJcA%3D%3D&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"Blue Star Convertible 4 in 1 Cooling 2022 Model 1.5 Ton 3 Star Split Inverter Multi Sensors, Stabalizer Free Operation, Self Diagnosis, Dust Filter AC  - White  (IA318FNU, Copper Condenser)","₹35,990",4.2,1.5 Ton,IA318FNU,Split,Blue Star,White,5150 W,Inverter Rotary,Yes,Yes,"AC 235 V, 50 Hz",1002.84 W,https://www.flipkart.com/blue-star-convertible-4-1-cooling-2022-model-1-5-ton-3-split-inverter-multi-sensors-stabalizer-free-operation-self-diagnosis-dust-filter-ac-white/p/itm175cda9ee4598?pid=ACNGB663EA8ZESSU&lid=LSTACNGB663EA8ZESSU0DGMLT&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGB663EA8ZESSU.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183V Vectra Pride(4503445), Copper Condenser)","₹33,990",4.2,1.5 Ton,183V Vectra Pride(4503445),Split,Voltas,White,4800 W,High EER Rotary- BLDC,Yes,No value available,No value available,No value available,https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itm1899f61b96cd2?pid=ACNGHUNG3FWVG7NJ&lid=LSTACNGHUNG3FWVG7NJWDIXNC&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&spotlightTagId=FkPickId_j9e%2Fabm%2Fc54&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGHUNG3FWVG7NJ.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 6th Sense Technology AC  - White  (Magicool 15T 3S INV S3K1PP0 (SAI17P33MCP0), Copper Condenser)","₹31,990",3.9,1.5 Ton,Magicool 15T 3S INV S3K1PP0 (SAI17P33MCP0),Split,Whirlpool,White,4900 W,Single Rotary,Yes,Yes,"AC 240 V, 50 Hz",963.21 W,https://www.flipkart.com/whirlpool-convertible-4-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-6th-sense-technology-ac-white/p/itm5b28d8d4d4654?pid=ACNGHUJBX5SYRXQQ&lid=LSTACNGHUJBX5SYRXQQ9BQVFP&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGHUJBX5SYRXQQ.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter i-sense Technology with Blue Fin Anti Corrosive Coating AC  - White, Gold  (AC 1.5T EI 18TINV3R32-GWA/AC 1.5T EI 18TINV3R32-GWB, Copper Condenser)","₹31,990",4,1.5 Ton,AC 1.5T EI 18TINV3R32-GWA/AC 1.5T EI 18TINV3R32-GWB,Split,Godrej,"White, Gold",5000 W,Single Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-5-ton-3-star-split-inverter-i-sense-technology-blue-fin-anti-corrosive-coating-ac-white-gold/p/itmf895eaabf4fd8?pid=ACNGK96ZMYVWCFEG&lid=LSTACNGK96ZMYVWCFEGKLGMRY&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGK96ZMYVWCFEG.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (153SIAA22BW, Copper Condenser)","₹28,999",4.1,1.5 Ton,153SIAA22BW,Split,MarQ by Flipkart,White,5115 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",1620 W,https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm468809f2be7ea?pid=ACNGKYHZG7FHR46Z&lid=LSTACNGKYHZG7FHR46ZQO3GLX&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGKYHZG7FHR46Z.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosis, Stabalizer Free Operation, Dust Filter AC  - White  (IC309RBTU, Copper Condenser)","₹28,999",4.2,0.8 Ton,IC309RBTU,Split,Blue Star,White,2640 W,Single Rotary,Yes,Yes,"AC 230 V, 50 Hz, 1 Phase",521.6 W,https://www.flipkart.com/blue-star-2023-model-0-8-ton-3-split-inverter-multi-sensors-self-clean-technology-diagnosis-stabalizer-free-operation-dust-filter-ac-white/p/itm96a767425b96f?pid=ACNFWQDESXK3EKHC&lid=LSTACNFWQDESXK3EKHCMHUILV&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_BZRt%2Fxd%2Bz7f45%2FmEGwycDthzGun9dgRfCuyj7wS3NQyxDfARmmXsDPBh9awP%2FzjNc6FU2Nhdo%2BqepCf5HdkM8Q%3D%3D&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (153SIAA22BW2, Copper Condenser)","₹28,499",4.1,1.5 Ton,153SIAA22BW2,Split,MarQ by Flipkart,White,4900 W,Rotary,Yes,Yes,"AC 220 - 240 V, 50 Hz",1660 W,https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm5ed62004ffc2f?pid=ACNGKYHZJGTVAGPK&lid=LSTACNGKYHZJGTVAGPKPLMDJD&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGKYHZJGTVAGPK.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
"CARRIER Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Flexicool Inverter Dual Filtration with HD & PM 2.5 Filter AC  - White  (18K ESTER EXi INVERTER R32 SPLIT AC_CAI18ES5R33F0, Copper Condenser)","₹41,999",4.1,1.5 Ton,18K ESTER EXi INVERTER R32 SPLIT AC_CAI18ES5R33F0,Split,CARRIER,White,5000 W,High EER Rotary,Yes,Yes,"AC 230 V, 50 Hz",1260 W,https://www.flipkart.com/carrier-convertible-6-in-1-cooling-2023-model-1-5-ton-5-star-split-ai-flexicool-inverter-dual-filtration-hd-pm-2-5-filter-ac-white/p/itm8dc8edb78e6c5?pid=ACNGHMTYGHQ2PJJH&lid=LSTACNGHMTYGHQ2PJJH2U5DHD&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=0990380f-2a94-4848-884e-08cdd66da0b8.ACNGHMTYGHQ2PJJH.SEARCH&ppt=None&ppn=None&ssid=c58271gu5s0000001683143089995&qH=fb2a25a33265e1ef
