Product Name,Price,Ratings,Author,Publishing Date,Publisher,Edition,Number of Pages,Language,Product_Url
"SSC MTS 2023 4800 TCS MCQ Chapter Wise With Detailed Explanation Hindi Medium  (Paperback, Hindi, Pinnacle Publications)",₹360,4.3,Pinnacle Publications,No value available,Pinnacle Publications,2nd,421,Hindi,https://www.flipkart.com/ssc-mts-2023-4800-tcs-mcq-chapter-wise-detailed-explanation-hindi-medium/p/itmffe25972b3b24?pid=RBKGHGU3NRJSRBH8&lid=LSTRBKGHGU3NRJSRBH85VQZ6M&marketplace=FLIPKART&q=books&store=bks&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGHGU3NRJSRBH8.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Chacha Chaudhary, Billoo, Pinki Comics In Marathi  (Paperback, Marathi, Prans)",₹270,3.4,Prans,No value available,Diamond Magazine Private Limited,1,144,Marathi,https://www.flipkart.com/chacha-chaudhary-billoo-pinki-comics-marathi/p/itm04d5de2503eba?pid=RBKG8YSVEFFTKMYZ&lid=LSTRBKG8YSVEFFTKMYZQLOKUO&marketplace=FLIPKART&q=books&store=bks&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FOZ2Gw9HE1G%2BWjGZy1sl6lvJ5PaTMRPs9sRdmrd7l8LKg%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Sawan Present Set Of 5 Board Books | Kids Board Book Series | ABC, Vehicals, Fruits, Birds & Flowers  (Board Book, Manoj Publications Editorial Board)",₹275,4.4,Manoj Publications Editorial Board,No value available,Manoj Publications,Shashank,120,English,https://www.flipkart.com/sawan-present-set-5-board-books-kids-book-series-abc-vehicals-fruits-birds-flowers/p/itm7b7e0cfe65ed5?pid=RBKFTC4ZVMCAJG5N&lid=LSTRBKFTC4ZVMCAJG5ND9YQZL&marketplace=FLIPKART&q=books&store=bks&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFTC4ZVMCAJG5N.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"CUET UG Entrance Exam Books 2023 - CUET Physics, Chemistry, Maths, English & General Test (PCM+E+GT) Common University Entrance Test - 60 Practice Test Papers (CUET Sample Paper) | Latest Exam Pattern For B.Sc | Set Of 5 Books  (Paperback, Target Publications)",₹558,4.2,Target Publications,No value available,Target Publications Pvt. Ltd.,e1,576,English,https://www.flipkart.com/cuet-ug-entrance-exam-books-2023-physics-chemistry-maths-english-general-test-pcm-e-gt-common-university-60-practice-papers-cuet-sample-paper-latest-pattern-b-sc-set-5/p/itm46697388b9984?pid=RBKGNTYGNGWFJXA8&lid=LSTRBKGNTYGNGWFJXA8TNJPTF&marketplace=FLIPKART&q=books&store=bks&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGNTYGNGWFJXA8.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"SSC MTS 2023 4800 TCS MCQ Chapter Wise With Detailed Explanation English Medium  (Paperback, Pinnacle Publications)",₹360,4.4,Pinnacle Publications,No value available,Pinnacle Publications,2nd,455,English,https://www.flipkart.com/ssc-mts-2023-4800-tcs-mcq-chapter-wise-detailed-explanation-english-medium/p/itmcbfad8ef5048f?pid=RBKGHGTTXG5FWZQA&lid=LSTRBKGHGTTXG5FWZQAWYJWKA&marketplace=FLIPKART&q=books&store=bks&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGHGTTXG5FWZQA.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"World’s Best Inspirational Books To Change Your Life In Hindi - Chinta Chhodo Sukh Se Jiyo - चिंता छोड़ो सुख से जियो (Hindi Translation Of How To Stop Worrying & Start Living) + Apke Avchetan Man Ki Shakti : आपके अवचेतन मन की शक्ति (The Power Of Your Subconscious Mind In Hindi) + Think & Grow Rich - सोचो और अमीर बनो (Hindi Translation Of Think And Grow Rich) ( Set Of 3 Books)  (Paperback, Hindi, Carnegie, Dale; Dr. Murphy, Joseph; Hill, Napoleon)",₹442,4.5,"Carnegie, Dale; Dr. Murphy, Joseph; Hill, Napoleon",No value available,Diamond Pocket Books Pvt LTD,1,758,Hindi,https://www.flipkart.com/worlds-best-inspirational-books-change-your-life-hindi-chinta-chhodo-sukh-se-jiyo-hindi-translation-stop-worrying-start-living-apke-avchetan-man-ki-shakti-the-power-subconscious-mind-hindi-think-grow-rich-rich-set-3-books/p/itm371b11b76034b?pid=RBKG3GEQYQYPYCZZ&lid=LSTRBKG3GEQYQYPYCZZZU3DZR&marketplace=FLIPKART&q=books&store=bks&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FN4ueeIkJnDUckusn4Rs3Lf%2BzP5JzNiOkaBWROnuHPJtQ%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Modern Indian History UPSC Civil Services Exam | Modern Indian History Book (English 1st Edition) For State PCS Exams By StudyIQ Publications  (Paperback, StudyIQ Publications)",₹335,4.5,StudyIQ Publications,No value available,StudyIQ Publications,1st,463,English,https://www.flipkart.com/modern-indian-history-upsc-civil-services-exam-book-english-1st-edition-state-pcs-exams-studyiq-publications/p/itm47e1b8473c10a?pid=RBKGKFCVHZE2KMAD&lid=LSTRBKGKFCVHZE2KMADHCMVYT&marketplace=FLIPKART&q=books&store=bks&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGKFCVHZE2KMAD.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Sawan Present Set Of 5 Story Books | Baby Animals Series | Adventurous Cub, Baby Squirrel, Baby Dinosaur, City Calf & Baby Mouse  (Board Book, Manoj Publications Editorial Board)",₹289,4.4,Manoj Publications Editorial Board,No value available,Manoj Publications,Shashank,40,English,https://www.flipkart.com/sawan-present-set-5-story-books-baby-animals-series-adventurous-cub-squirrel-dinosaur-city-calf-mouse/p/itmbad0049c7ca10?pid=RBKFTC4YEZFGQV4X&lid=LSTRBKFTC4YEZFGQV4XOXKI96&marketplace=FLIPKART&q=books&store=bks&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFTC4YEZFGQV4X.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"ACE QUANT A Complete Guide On Quantitative Aptitude For Banking & Insurance Examinations  (Paperback, Adda247 Publications)",₹346,4.4,Adda247 Publications,No value available,Adda247 Publications,3,460,English,https://www.flipkart.com/ace-quant-complete-guide-quantitative-aptitude-banking-insurance-examinations/p/itm93b47f602f5f5?pid=RBKG5DG9AZEH2EQ2&lid=LSTRBKG5DG9AZEH2EQ2IN1EIA&marketplace=FLIPKART&q=books&store=bks&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKG5DG9AZEH2EQ2.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"The Best Of Dale Carnegie - The Quick And Easy Way To Effective Speaking + How To Enjoy Your Life And Job (Set Of 2 Books)  (Paperback, Dale Carnegie)",₹272,3.4,Dale Carnegie,No value available,Diamond Pocket Books Pvt LTD,1,344,English,https://www.flipkart.com/best-dale-carnegie-quick-easy-way-effective-speaking-enjoy-your-life-job-set-2-books/p/itm19f624468dcd4?pid=RBKG2XJZ36MHJCQH&lid=LSTRBKG2XJZ36MHJCQH8OHLN1&marketplace=FLIPKART&q=books&store=bks&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FOqbPCkxCrt57tmAkQo0gxif3TGT%2FEeyoGkFg3jz39BmQ%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
