ProductUrlProductNamePriceRatingsCapacity in tonsModelNameProductTypeBrandProductColorCoolingCapacityCompressorRemoteControlDustFilterPowerConsumptionPowerRequirementAutoRestart,Product Name,Price,Ratings,capacity_in_tons,model_name,product_type,brand,product_color,cooling_capacity,compressor,remote_control,dust_filter,power_consumption,power_requirement,Product_Url
,"Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter i-sense Technology with Blue Fin Anti Corrosive Coating AC  - White, Gold  (AC 1.5T EI 18TINV3R32-GWA/AC 1.5T EI 18TINV3R32-GWB, Copper Condenser)","₹32,490",4,No value available,AC 1.5T EI 18TINV3R32-GWA/AC 1.5T EI 18TINV3R32-GWB,Split,Godrej,"White, Gold",5000 W,Single Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-5-ton-3-star-split-inverter-i-sense-technology-blue-fin-anti-corrosive-coating-ac-white-gold/p/itmf895eaabf4fd8?pid=ACNGK96ZMYVWCFEG&lid=LSTACNGK96ZMYVWCFEGKLGMRY&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGK96ZMYVWCFEG.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"Blue Star 2 Ton 3 Star Split Inverter AC  - White  (IC324YNU, Copper Condenser)","₹47,990",4.2,No value available,IC324YNU,Split,Blue Star,White,6350 W,Rotary,Yes,No value available,No value available,"AC 230 V, 50 Hz",https://www.flipkart.com/blue-star-2-ton-3-split-inverter-ac-white/p/itm3693cb69855c6?pid=ACNGNFYF3ZZY3YQJ&lid=LSTACNGNFYF3ZZY3YQJCYKU9I&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_ha9ArbMANsoOQrD%2BYcL%2BR5Zgra%2F4OVK0X9OSFex0NTBPllJnxbkLPCOjQcIUX65%2BCoELMRghT2iobt9jLjvVWg%3D%3D&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"MarQ by Flipkart 2023 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (103SIAA22BW, Copper Condenser)","₹27,499",4.2,No value available,103SIAA22BW,Split,MarQ by Flipkart,White,3500 W,Inverter Compressor,Yes,No value available,No value available,"AC 220 - 240 V, 50 Hz",https://www.flipkart.com/marq-flipkart-2023-range-1-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm7d81fe7d20936?pid=ACNGKYHZUDEUBFD3&lid=LSTACNGKYHZUDEUBFD3CUBTNO&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGKYHZUDEUBFD3.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"Panasonic 1.5 Ton 4 Star Split Inverter AC with Wi-fi Connect  - White  (CS/CU-NU18YKY4W, Copper Condenser)","₹39,999",4.3,No value available,CS/CU-NU18YKY4W,Split,Panasonic,White,5100 W,Inverter Compressor,Yes,No value available,No value available,No value available,https://www.flipkart.com/panasonic-1-5-ton-4-star-split-inverter-ac-wi-fi-connect-white/p/itm2888f8a76a253?pid=ACNGHHH25JVKN5NG&lid=LSTACNGHHH25JVKN5NG5TJYNM&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGHHH25JVKN5NG.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"realme TechLife 2023 Range 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technology AC  - White  (155SIAA22BWR, Copper Condenser)","₹31,999",4.1,No value available,155SIAA22BWR,Split,realme TechLife,White,5100 W,Inverter Compressor,Yes,No value available,No value available,"AC 220 - 240 V, 50 Hz",https://www.flipkart.com/realme-techlife-2023-range-1-5-ton-5-star-split-inverter-4-in-1-convertible-flexi-control-technology-ac-white/p/itmc3050df439a7a?pid=ACNGKYHZFZFGKYQG&lid=LSTACNGKYHZFZFGKYQG1UJRKL&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGKYHZFZFGKYQG.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter Wind Free AC with Wi-fi Connect  - White  (AR18CYLANWK/AR18CYLANWKNNA/AR18CYLANWKXNA, Copper Condenser)","₹38,399",4.1,No value available,AR18CYLANWK/AR18CYLANWKNNA/AR18CYLANWKXNA,Split,SAMSUNG,White,5000 W,Digital Inverter Compressor,Yes,No value available,No value available,"AC 230 V, 50 Hz",https://www.flipkart.com/samsung-convertible-5-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-wind-free-ac-wi-fi-connect-white/p/itm26c3f8a6294d9?pid=ACNGHRDQKU2TUXFH&lid=LSTACNGHRDQKU2TUXFHQ0I08P&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_ha9ArbMANsoOQrD%2BYcL%2BR5Zgra%2F4OVK0X9OSFex0NTCQO1SKDy%2FhpTiujZLczQvhi2ZwJ27nHHJ3nIKCjm8jwQ%3D%3D&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"MarQ by Flipkart 2023 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (153SIAA22BW2, Copper Condenser)","₹28,999",4.2,No value available,153SIAA22BW2,Split,MarQ by Flipkart,White,4900 W,Rotary,Yes,No value available,No value available,"AC 220 - 240 V, 50 Hz",https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm5ed62004ffc2f?pid=ACNGKYHZJGTVAGPK&lid=LSTACNGKYHZJGTVAGPKPLMDJD&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGKYHZJGTVAGPK.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 6th Sense Technology AC  - White  (Magicool 15T 4S INV CNV S3I3AD0 (SAl18B43MCD0), Copper Condenser)","₹33,990",3.9,No value available,Magicool 15T 4S INV CNV S3I3AD0 (SAl18B43MCD0),Split,Whirlpool,White,5100 W,Single Rotary,Yes,No value available,No value available,"AC 240 V, 50 Hz",https://www.flipkart.com/whirlpool-convertible-4-in-1-cooling-2023-model-1-5-ton-4-star-split-inverter-6th-sense-technology-ac-white/p/itmb373c93b6949d?pid=ACNGHHW2FKC9KK98&lid=LSTACNGHHW2FKC9KK98KDY0CX&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGHHW2FKC9KK98.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White  (AR18CYLZABE/AR18CYLZABENNA/AR18CYLZABEXNA, Copper Condenser)","₹34,999",4.1,No value available,AR18CYLZABE/AR18CYLZABENNA/AR18CYLZABEXNA,Split,SAMSUNG,White,5000 W,Digital Inverter Compressor,Yes,No value available,No value available,"AC 230 V, 50 Hz",https://www.flipkart.com/samsung-convertible-5-in-1-cooling-2023-model-1-5-ton-3-star-split-inverter-ac-white/p/itm44e816c7213fc?pid=ACNGHRDQZUD2CPTZ&lid=LSTACNGHRDQZUD2CPTZI1ZDMQ&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=abaae71a-4091-4a0e-9740-10db2d5b2695.ACNGHRDQZUD2CPTZ.SEARCH&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 2 Ton 3 Star Split Inverter Smart Ready, 7 Stage Air Treatment AC  - White  (CI2431G323G3, Copper Condenser)","₹48,490",4.2,No value available,CI2431G323G3,Split,IFB,White,6200 W,Single Rotary,Yes,No value available,No value available,"AC 230 V, 50 Hz",https://www.flipkart.com/ifb-fastcool-convertible-8-in-1-cooling-2023-model-2-ton-3-star-split-inverter-smart-ready-7-stage-air-treatment-ac-white/p/itm0a3050e64847b?pid=ACNGKQGADUW5GCRY&lid=LSTACNGKQGADUW5GCRYJYAS5P&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_ha9ArbMANsoOQrD%2BYcL%2BR5Zgra%2F4OVK0X9OSFex0NTBg2StqjcFnc%2FUCEtEDhSvz09b28WTBg%2F5Xs%2FoZ0goGrw%3D%3D&ppt=None&ppn=None&ssid=zl6tjkde740000001682701331505&qH=fb2a25a33265e1ef
