Product Name,Price,Ratings,camera_details,battery_details,Processor,product_color,model_name,display_size,display_type,resolution,operating_system,processor_type,ram_size,internal_storage,Product_Url
"REDMI A1+ (Light Blue, 32 GB)  (2 GB RAM)","₹6,499",4.2,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor,Light Blue,A1+,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 12 Go,Mediatek Helio A22,2 GB,32 GB,https://www.flipkart.com/redmi-a1-light-blue-32-gb/p/itm4999515e917f6?pid=MOBGGYBAN8HMVT5P&lid=LSTMOBGGYBAN8HMVT5PWUDNSV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_3_69&otracker=search&otracker1=search&fm=organic&iid=03ae2a36-42e2-45a2-ac47-fa159add6f82.MOBGGYBAN8HMVT5P.SEARCH&ppt=None&ppn=None&ssid=nsuvytol9s0000001682270321520&qH=1036ba3c4ed2c021
"REDMI 10 (Shadow Black, 64 GB)  (4 GB RAM)","₹9,999",4.3,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,Shadow Black,10,17.02 cm (6.7 inch),HD+ IPS LCD,1650 x 720 Pixels,Android 11,Qualcomm Snapdragon 680,4 GB,64 GB,https://www.flipkart.com/redmi-10-shadow-black-64-gb/p/itm0f35cd8b62294?pid=MOBGMPHFVU6NNDH5&lid=LSTMOBGMPHFVU6NNDH5AK0YVP&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_3_70&otracker=search&otracker1=search&fm=organic&iid=03ae2a36-42e2-45a2-ac47-fa159add6f82.MOBGMPHFVU6NNDH5.SEARCH&ppt=None&ppn=None&ssid=nsuvytol9s0000001682270321520&qH=1036ba3c4ed2c021
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)  (4 GB RAM)","₹10,999",4.4,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,Nightsky Green,Galaxy F13,16.76 cm (6.6 inch),Full HD+,2408 x 1080 Pixels,Android 12,Exynos 850,4 GB,64 GB,https://www.flipkart.com/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENS2XJXA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_3_71&otracker=search&otracker1=search&fm=organic&iid=03ae2a36-42e2-45a2-ac47-fa159add6f82.MOBGENJWF4KJTPEN.SEARCH&ppt=None&ppn=None&ssid=nsuvytol9s0000001682270321520&qH=1036ba3c4ed2c021
"vivo T2 5G (Nitro Blaze, 128 GB)  (6 GB RAM)","₹18,999",4.7,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,Nitro Blaze,T2 5G,16.21 cm (6.38 inch),Full HD+ AMOLED Display,2400 x 1080 Pixels,Android 13,Snapdragon 695,6 GB,128 GB,https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUVZCHW6HU&lid=LSTMOBGZBFUVZCHW6HUPEQTSN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_3_72&otracker=search&otracker1=search&fm=organic&iid=03ae2a36-42e2-45a2-ac47-fa159add6f82.MOBGZBFUVZCHW6HU.SEARCH&ppt=None&ppn=None&ssid=nsuvytol9s0000001682270321520&qH=1036ba3c4ed2c021
"vivo T2 5G (Velocity Wave, 128 GB)  (6 GB RAM)","₹18,999",4.7,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,Velocity Wave,T2 5G,16.21 cm (6.38 inch),Full HD+ AMOLED Display,2400 x 1080 Pixels,Android 13,Snapdragon 695,6 GB,128 GB,https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU3KXMFYHP&lid=LSTMOBGZBFU3KXMFYHPDAIYBV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_73&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGZBFU3KXMFYHP.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"MOTOROLA g13 (Lavender Blue, 128 GB)  (4 GB RAM)","₹9,999",4,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,Lavender Blue,g13,16.51 cm (6.5 inch),HD+ IPS LCD Display,1600 x 720 Pixels,Android 13,Helio G85,4 GB,128 GB,https://www.flipkart.com/motorola-g13-lavender-blue-128-gb/p/itm33a28df3f670c?pid=MOBGM2EHC4YKWXMB&lid=LSTMOBGM2EHC4YKWXMBUYHIKN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_74&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGM2EHC4YKWXMB.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)  (2 GB RAM)","₹5,549",4.2,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,Bamboo Green,C30,16.51 cm (6.5 inch),HD+ LCD Display,1600 x 720 Pixel,Android 11,Unisoc T612,2 GB,32 GB,https://www.flipkart.com/realme-c30-locked-airtel-prepaid-bamboo-green-32-gb/p/itm938b2a52e171f?pid=MOBGFCFQXDH5NZGU&lid=LSTMOBGFCFQXDH5NZGUMBWKGV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_75&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGFCFQXDH5NZGU.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"realme 10 Pro+ 5G (Dark Matter, 128 GB)  (8 GB RAM)","₹25,999",4.5,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor,Dark Matter,10 Pro+ 5G,17.02 cm (6.7 inch),Full HD+ AMOLED Display,2412 x 1080 Pixel,Android 13,Mediatek Dimensity 1080 5G,8 GB,128 GB,https://www.flipkart.com/realme-10-pro-5g-dark-matter-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZNAZWKQGX&lid=LSTMOBGK8WZNAZWKQGXOWFNQN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_76&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGK8WZNAZWKQGX.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"APPLE iPhone 13 (Pink, 128 GB)","₹61,999",4.7,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,NO value available,Pink,iPhone 13,15.49 cm (6.1 inch),Super Retina XDR,2532 x 1170 Pixels,iOS 15,A15 Bionic Chip,No value available,128 GB,https://www.flipkart.com/apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YSGQY4O&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_77&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"POCO C51 (Royal Blue, 64 GB)  (4 GB RAM)","₹7,749",4.3,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,Royal Blue,C51,16.56 cm (6.52 inch),HD+ Scratch Resistant Display,1600 x 720 Pixels,Android 13,Helio G36,4 GB,64 GB,https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89POEPN6S&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_78&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
