Product Name,Price,Ratings,Brand Name,Model Name,Washing Capacity,Color,Maximum Spin Speed,Function Type,Inbuilt Heater,Washing Method,Product_Url
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"₹15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar,https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm50fdb8ca1e478?pid=WMNGDSUXZS5BWH7H&lid=LSTWMNGDSUXZS5BWH7HJAJBFH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGDSUXZS5BWH7H.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon  (MQSA60H5M)","₹6,790",4.3,MarQ by Flipkart,MQSA60H5M,6 kg,"White, Maroon",1350 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD&lid=LSTWMNFMKPKZYYJAQWD0RGH7K&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_9ZNTV4zqF%2FqrtcPa6yj5fITIGAkhdvovrI5LEVZj9hHIGwvd0D7HMD64WkSjfXbP6mNxEpEBA2opIoiIf%2FXwqQ%3D%3D&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","₹9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-8-5-kg-semi-automatic-top-load-washing-machine-grey-black/p/itm192446e1808c5?pid=WMNGATRJH82GPXWZ&lid=LSTWMNGATRJH82GPXWZ2LYF7K&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGATRJH82GPXWZ.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","₹7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/marq-flipkart-7-kg-semi-automatic-top-load-washing-machine-blue-white/p/itma96b6a63dbf26?pid=WMNG2A7GGTDSVQV8&lid=LSTWMNG2A7GGTDSVQV8JF02X3&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNG2A7GGTDSVQV8.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"₹17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/lg-7-kg-smart-diagnosis-inverter-fully-automatic-top-load-washing-machine-silver/p/itm4b6f044047234?pid=WMNFUBJFUZHQGFPZ&lid=LSTWMNFUBJFUZHQGFPZX0OQTY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNFUBJFUZHQGFPZ.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA90BG4542BDTL),"₹25,090",4.3,SAMSUNG,WA90BG4542BDTL,9 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-9-kg-wifi-enabled-inverter-5-star-ecobubble-technology-washing-machine-fully-automatic-top-load-grey/p/itm33fa5f2e01d9a?pid=WMNGGUWZNN6FRA5Z&lid=LSTWMNGGUWZNN6FRA5ZDJRBHW&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_9ZNTV4zqF%2FqrtcPa6yj5fITIGAkhdvovrI5LEVZj9hHXlP8HihAykemMZkgM7AKN%2BoIIRhz1ZB1NjtWVAfTguw%3D%3D&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (DIVA AQUA VSS 6008)","₹21,990",4.2,IFB,DIVA AQUA VSS 6008,6 kg,White,800 rpm,Fully Automatic Front Load,Yes,Tumble Wash,https://www.flipkart.com/ifb-6-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-washing-machine-in-built-heater-white/p/itm3bf21ef8dc5e7?pid=WMNGDMYHAKGZHEPK&lid=LSTWMNGDMYHAKGZHEPKZXNDIY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGDMYHAKGZHEPK.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
SAMSUNG 6.5 kg 5 Star Inverter with Diamond Drum Fully Automatic Top Load Washing Machine Grey  (WA65T4262GG/TL),"₹15,990",4.3,SAMSUNG,WA65T4262GG/TL,6.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-diamond-drum-fully-automatic-top-load-washing-machine-grey/p/itm5814d96c6faa5?pid=WMNFPVW74ZSHUT5F&lid=LSTWMNFPVW74ZSHUT5FZDBTBL&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNFPVW74ZSHUT5F.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","₹31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash,https://www.flipkart.com/ifb-8-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-washing-machine-in-built-heater-white/p/itm1bd3aeaf5f2e4?pid=WMNGHH47KRR7WCWM&lid=LSTWMNGHH47KRR7WCWMMCZPU5&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=TrendingId_j9e%2Fabm%2F8qx&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGHH47KRR7WCWM.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
SAMSUNG 8 kg Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA80BG4441BGTL),"₹19,990",4.3,SAMSUNG,WA80BG4441BGTL,8 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-8-kg-inverter-5-star-ecobubble-technology-washing-machine-fully-automatic-top-load-grey/p/itmc6526adbb9164?pid=WMNGGUWZED7JAXZZ&lid=LSTWMNGGUWZED7JAXZZULDSSE&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_9ZNTV4zqF%2FqrtcPa6yj5fITIGAkhdvovrI5LEVZj9hEMWY4xWEt9iRD2I19zlt42pFElX1sSY%2FgmMT64slSzTw%3D%3D&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","₹29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble,https://www.flipkart.com/lg-7-kg-fully-automatic-front-load-washing-machine-in-built-heater-black-grey/p/itma76be56c71ca4?pid=WMNGKNNNFG7ZAZHS&lid=LSTWMNGKNNNFG7ZAZHSI7Z7FH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGKNNNFG7ZAZHS.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load Washing Machine White, Grey, Purple  (WT60R2000LL/TL)","₹8,990",4.4,SAMSUNG,WT60R2000LL/TL,6 kg,"White, Grey, Purple",1300 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-6-kg-5-star-center-jet-technology-semi-automatic-top-load-washing-machine-white-grey-purple/p/itmc4c87248a9a26?pid=WMNFUGBCYDGMKE74&lid=LSTWMNFUGBCYDGMKE74FUYZ3U&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNFUGBCYDGMKE74.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)","₹8,690",4.3,realme TechLife,RMSA755NNNDG,7.5 kg,"Black, Grey",1400 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615?pid=WMNGATRJPSSNF4BN&lid=LSTWMNGATRJPSSNF4BNEXRH6Z&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGATRJPSSNF4BN.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
SAMSUNG 6.5 kg Inverter 5 star Wobble Technology Fully Automatic Top Load Washing Machine Silver  (WA65T4262NS/TL),"₹16,990",4.4,SAMSUNG,WA65T4262NS/TL,6.5 kg,Silver,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-6-5-kg-inverter-5-star-wobble-technology-fully-automatic-top-load-washing-machine-silver/p/itm3adf84b1d3824?pid=WMNGGSK8Z2VCP5PK&lid=LSTWMNGGSK8Z2VCP5PK9XOTWQ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_9ZNTV4zqF%2FqrtcPa6yj5fITIGAkhdvovrI5LEVZj9hExg8vMabZEG%2BbuJuMveWrzyXF4a%2FXQEi8Ki4aiWonPOA%3D%3D&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"ONIDA 7 kg Semi Automatic Top Load Washing Machine Black, Grey  (S70GR)","₹7,990",4.2,ONIDA,S70GR,7 kg,"Black, Grey",1300 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/onida-7-kg-semi-automatic-top-load-washing-machine-black-grey/p/itm864992d1e60a5?pid=WMNGHYFH7FQGGHFR&lid=LSTWMNGHYFH7FQGGHFROF8Q20&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=TrendingId_j9e%2Fabm%2F8qx&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGHYFH7FQGGHFR.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"SAMSUNG 7 kg Semi Automatic Top Load Washing Machine Grey, Purple  (WT70M3000UU/TL)","₹10,990",4.4,SAMSUNG,WT70M3000UU/TL,7 kg,"Grey, Purple",1350 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-7-kg-semi-automatic-top-load-washing-machine-grey-purple/p/itm5c2eea1d02979?pid=WMNGCYG9HQFBCUBJ&lid=LSTWMNGCYG9HQFBCUBJBAP2OM&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGCYG9HQFBCUBJ.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey  (MAGIC CLEAN 60I GREY DAZZLE)","₹8,990",4.4,Whirlpool,MAGIC CLEAN 60I GREY DAZZLE,6 kg,"Black, Grey",1400 rpm,Semi Automatic Top Load,No,Impeller,https://www.flipkart.com/whirlpool-6-kg-magic-clean-5-star-semi-automatic-top-load-washing-machine-black-grey/p/itme0cb6f5a78ac5?pid=WMNGF9W8ZNF6C5VT&lid=LSTWMNGF9W8ZNF6C5VTSVIZGI&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=f53ee7d8-4fbe-4f38-a325-6283b7ece438.WMNGF9W8ZNF6C5VT.SEARCH&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Washing Machine Black, Grey  (MAGIC CLEAN 8.0 GREY DAZZLE (10YR) NH)","₹12,490",4.4,Whirlpool,MAGIC CLEAN 8.0 GREY DAZZLE (10YR) NH,8 kg,"Black, Grey",1400 rpm,Semi Automatic Top Load,No,Impeller,https://www.flipkart.com/whirlpool-8-kg-5-star-magic-clean-faster-drying-semi-automatic-top-load-washing-machine-black-grey/p/itm9805fdcb9aae1?pid=WMNGF9W8FRFYSYSN&lid=LSTWMNGF9W8FRFYSYSNF5U5UE&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_9ZNTV4zqF%2FqrtcPa6yj5fITIGAkhdvovrI5LEVZj9hFHCFct3rdodn3RqISwPSCgyXIQ%2BoP99mfJppQi5BtXhw%3D%3D&ppt=None&ppn=None&ssid=xsutmr6b9s0000001683232277164&qH=b3522a5e7056c9c0
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"₹15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-7-kg-diamond-drum-feature-fully-automatic-top-load-washing-machine-silver/p/itm45d6cd26e5975?pid=WMNFV6ZYYAEZX6HM&lid=LSTWMNFV6ZYYAEZX6HMNJZL4B&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_26H8aXLe9rW5pdZnCjpOWbKPi%2B9xPWb6IjH%2F2HQyiuIUJTdT1efMfkaa81x2%2FZXdn0XAw29Mjwk%2F1yfyeUuVgg%3D%3D&ppt=None&ppn=None&ssid=2b0qta9o740000001683232309217&qH=b3522a5e7056c9c0
