Product Name,Price,Ratings,Brand Name,Model Name,Washing Capacity,Color,Maximum Spin Speed,Function Type,Inbuilt Heater,Washing Method,Product_Url
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"₹15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-7-kg-diamond-drum-feature-fully-automatic-top-load-washing-machine-silver/p/itm45d6cd26e5975?pid=WMNFV6ZYYAEZX6HM&lid=LSTWMNFV6ZYYAEZX6HMNJZL4B&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXaOk7yyLUOUzAHBhj4%2B%2BJD%2Fn0XAw29Mjwk%2F1yfyeUuVgg%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"realme TechLife 7 kg Semi Automatic Top Load Washing Machine White, Black  (RMSA705NNNDW)","₹7,790",4.2,realme TechLife,RMSA705NNNDW,7 kg,"White, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-7-kg-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6?pid=WMNGBFX49DZJWFKZ&lid=LSTWMNGBFX49DZJWFKZKCTHM6&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXZVqdp0wHy%2B4lC2UvFLbrO6luWf%2FhZku1amETaMFLGDAg%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey  (RMFA75A5G),"₹12,290",4.2,realme TechLife,RMFA75A5G,7.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-washing-machine-grey/p/itm048aca1726a71?pid=WMNG4XM5CQTNRQHV&lid=LSTWMNG4XM5CQTNRQHVWOSYMQ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNG4XM5CQTNRQHV.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Washing Machine Grey, White  (P7020NGAZ)","₹11,990",4.5,LG,P7020NGAZ,7 kg,"Grey, White",1350 rpm,Semi Automatic Top Load,No,Normal Pulsator Wash,https://www.flipkart.com/lg-7-kg-5-star-rating-wind-jet-dry-semi-automatic-top-load-washing-machine-grey-white/p/itmc9d497e9b58bb?pid=WMNG4VNTJAUVBCKN&lid=LSTWMNG4VNTJAUVBCKNBMH2FY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=FkPickId_j9e%2Fabm%2F8qx&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNG4VNTJAUVBCKN.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine with In-built Heater White  (WW60R20GLMA/TL),"₹22,990",4.4,SAMSUNG,WW60R20GLMA/TL,6 kg,White,1000 rpm,Fully Automatic Front Load,Yes,Tumble,https://www.flipkart.com/samsung-6-kg-5-star-hygiene-steam-ceramic-heater-fully-automatic-front-load-washing-machine-in-built-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ&lid=LSTWMNFP6FWBB4AMHYJVZX57N&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNFP6FWBB4AMHYJ.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey  (HWM65-FE)","₹12,990",4.3,Haier,HWM65-FE,6.5 kg,"Brown, Grey",800 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/haier-6-5-kg-5-star-oceanus-wave-drum-washing-machine-fully-automatic-top-load-brown-grey/p/itm2c899989a92d7?pid=WMNGFHFPD9KCRH7Y&lid=LSTWMNGFHFPD9KCRH7YJFXO8Y&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGFHFPD9KCRH7Y.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey  (WA70BG4441YYTL),"₹17,990",4.3,SAMSUNG,WA70BG4441YYTL,7 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-7-kg-inverter-5-star-eco-bubble-technology-washing-machine-fully-automatic-top-load-grey/p/itmfad620b791ea9?pid=WMNGGUWZK6VEQPXD&lid=LSTWMNGGUWZK6VEQPXDBGVOA0&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGGUWZK6VEQPXD.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
Haier 8.5 kg 5 Star Anti-Bacterial Vortex Pulsator Semi Automatic Top Load Washing Machine Multicolor  (HTW85-186),"₹12,690",4.2,Haier,HTW85-186,8.5 kg,Multicolor,1300 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/haier-8-5-kg-5-star-anti-bacterial-vortex-pulsator-semi-automatic-top-load-washing-machine-multicolor/p/itmd87f12c7fe31b?pid=WMNGBHHNTJQMUKXT&lid=LSTWMNGBHHNTJQMUKXTIYZYLU&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXb%2BSLScRPhJTjzafIbB7Z6ODUrVRQfimJz364E%2BocXejg%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon  (MQSA60H5M)","₹6,790",4.3,MarQ by Flipkart,MQSA60H5M,6 kg,"White, Maroon",1350 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD&lid=LSTWMNFMKPKZYYJAQWD0RGH7K&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNFMKPKZYYJAQWD.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","₹9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-8-5-kg-semi-automatic-top-load-washing-machine-grey-black/p/itm192446e1808c5?pid=WMNGATRJH82GPXWZ&lid=LSTWMNGATRJH82GPXWZ2LYF7K&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGATRJH82GPXWZ.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"₹15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar,https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm50fdb8ca1e478?pid=WMNGDSUXZS5BWH7H&lid=LSTWMNGDSUXZS5BWH7HJAJBFH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGDSUXZS5BWH7H.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"Haier 9 kg Semi Automatic Top Load Washing Machine White, Blue  (HTW90-1159)","₹13,990",4.2,Haier,HTW90-1159,9 kg,"White, Blue",1300 rpm,Semi Automatic Top Load,No,Dual Color Vortex Pulsator Wash,https://www.flipkart.com/haier-9-kg-semi-automatic-top-load-washing-machine-white-blue/p/itmeux3uxkqvzwxq?pid=WMNEUX3UHPXNBQF6&lid=LSTWMNEUX3UHPXNBQF6VCSCNM&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXYJbCRFlA33e%2F691VA%2FGewGb8Eb8phYjybtRGdUztpWvQ%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"₹17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/lg-7-kg-smart-diagnosis-inverter-fully-automatic-top-load-washing-machine-silver/p/itm4b6f044047234?pid=WMNFUBJFUZHQGFPZ&lid=LSTWMNFUBJFUZHQGFPZX0OQTY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNFUBJFUZHQGFPZ.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 6.0 GENX GREY 5YMW),"₹13,690",4.2,Whirlpool,MAGIC CLEAN 6.0 GENX GREY 5YMW,6 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar,https://www.flipkart.com/whirlpool-6-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm1696b9d86b3c2?pid=WMNGDSUYNP7G6EGK&lid=LSTWMNGDSUYNP7G6EGKHUA3RP&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGDSUYNP7G6EGK.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","₹7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/marq-flipkart-7-kg-semi-automatic-top-load-washing-machine-blue-white/p/itma96b6a63dbf26?pid=WMNG2A7GGTDSVQV8&lid=LSTWMNG2A7GGTDSVQV8JF02X3&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNG2A7GGTDSVQV8.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA90BG4542BDTL),"₹25,090",4.3,SAMSUNG,WA90BG4542BDTL,9 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-9-kg-wifi-enabled-inverter-5-star-ecobubble-technology-washing-machine-fully-automatic-top-load-grey/p/itm33fa5f2e01d9a?pid=WMNGGUWZNN6FRA5Z&lid=LSTWMNGGUWZNN6FRA5ZDJRBHW&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXZd%2B4IIjg0fbAZZy8NjHH7c%2BoIIRhz1ZB1NjtWVAfTguw%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (DIVA AQUA VSS 6008)","₹21,990",4.2,IFB,DIVA AQUA VSS 6008,6 kg,White,800 rpm,Fully Automatic Front Load,Yes,Tumble Wash,https://www.flipkart.com/ifb-6-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-washing-machine-in-built-heater-white/p/itm3bf21ef8dc5e7?pid=WMNGDMYHAKGZHEPK&lid=LSTWMNGDMYHAKGZHEPKZXNDIY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGDMYHAKGZHEPK.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"ONIDA 7 kg Semi Automatic Top Load Washing Machine Black, Grey  (S70GR)","₹7,990",4.2,ONIDA,S70GR,7 kg,"Black, Grey",1300 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/onida-7-kg-semi-automatic-top-load-washing-machine-black-grey/p/itm864992d1e60a5?pid=WMNGHYFH7FQGGHFR&lid=LSTWMNGHYFH7FQGGHFROF8Q20&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=TrendingId_j9e%2Fabm%2F8qx&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGHYFH7FQGGHFR.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)","₹8,690",4.3,realme TechLife,RMSA755NNNDG,7.5 kg,"Black, Grey",1400 RPM,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615?pid=WMNGATRJPSSNF4BN&lid=LSTWMNGATRJPSSNF4BNEXRH6Z&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGATRJPSSNF4BN.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
SAMSUNG 8 kg Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA80BG4441BGTL),"₹19,990",4.3,SAMSUNG,WA80BG4441BGTL,8 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-8-kg-inverter-5-star-ecobubble-technology-washing-machine-fully-automatic-top-load-grey/p/itmc6526adbb9164?pid=WMNGGUWZED7JAXZZ&lid=LSTWMNGGUWZED7JAXZZULDSSE&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXbpubZg%2BP7pjD0iPFEqCjLlpFElX1sSY%2FgmMT64slSzTw%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load Washing Machine White, Grey, Purple  (WT60R2000LL/TL)","₹8,990",4.4,SAMSUNG,WT60R2000LL/TL,6 kg,"White, Grey, Purple",1300 rpm,Semi Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-6-kg-5-star-center-jet-technology-semi-automatic-top-load-washing-machine-white-grey-purple/p/itmc4c87248a9a26?pid=WMNFUGBCYDGMKE74&lid=LSTWMNFUGBCYDGMKE74FUYZ3U&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNFUGBCYDGMKE74.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","₹31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash,https://www.flipkart.com/ifb-8-kg-5-star-2x-power-steam-hard-water-wash-fully-automatic-front-load-washing-machine-in-built-heater-white/p/itm1bd3aeaf5f2e4?pid=WMNGHH47KRR7WCWM&lid=LSTWMNGHH47KRR7WCWMMCZPU5&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=TrendingId_j9e%2Fabm%2F8qx&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGHH47KRR7WCWM.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","₹29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble,https://www.flipkart.com/lg-7-kg-fully-automatic-front-load-washing-machine-in-built-heater-black-grey/p/itma76be56c71ca4?pid=WMNGKNNNFG7ZAZHS&lid=LSTWMNGKNNNFG7ZAZHSI7Z7FH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=db471b89-53a9-438c-b304-3e323aeede6a.WMNGKNNNFG7ZAZHS.SEARCH&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
SAMSUNG 6.5 kg Inverter 5 star Wobble Technology Fully Automatic Top Load Washing Machine Silver  (WA65T4262NS/TL),"₹16,990",4.4,SAMSUNG,WA65T4262NS/TL,6.5 kg,Silver,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-6-5-kg-inverter-5-star-wobble-technology-fully-automatic-top-load-washing-machine-silver/p/itm3adf84b1d3824?pid=WMNGGSK8Z2VCP5PK&lid=LSTWMNGGSK8Z2VCP5PK9XOTWQ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_TwDlC9aSqIGASQKaOALcb6dPT1UtfGcfpWM1U6RKAXYWoXyxh18VNkEJu30krCjLyXF4a%2FXQEi8Ki4aiWonPOA%3D%3D&ppt=None&ppn=None&ssid=u03octac1c0000001683231955153&qH=b3522a5e7056c9c0
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"₹15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/samsung-7-kg-diamond-drum-feature-fully-automatic-top-load-washing-machine-silver/p/itm45d6cd26e5975?pid=WMNFV6ZYYAEZX6HM&lid=LSTWMNFV6ZYYAEZX6HMNJZL4B&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_q65hgoAN%2F7GtsglddliFz2UjaDXXEJVYqxTaAFCtSPzEO2WDegJ5UOF7CycrUWv%2Fn0XAw29Mjwk%2F1yfyeUuVgg%3D%3D&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
"Haier 6.5 kg Semi Automatic Top Load Washing Machine White, Maroon  (HTW65-187BO)","₹8,950",4.2,Haier,HTW65-187BO,6.5 kg,"White, Maroon",1300 rpm,Semi Automatic Top Load,No,Agitator,https://www.flipkart.com/haier-6-5-kg-semi-automatic-top-load-washing-machine-white-maroon/p/itmc8c0115e4cd6f?pid=WMNGY5P9ZZFSG3UF&lid=LSTWMNGY5P9ZZFSG3UFLKVGYR&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_q65hgoAN%2F7GtsglddliFz2UjaDXXEJVYqxTaAFCtSPzQDKvSBpODVnNfNg1xo1oAaWXoT4p1OjrqXvlnDimiWQ%3D%3D&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Washing Machine Grey, White  (P7020NGAZ)","₹11,990",4.5,LG,P7020NGAZ,7 kg,"Grey, White",1350 rpm,Semi Automatic Top Load,No,Normal Pulsator Wash,https://www.flipkart.com/lg-7-kg-5-star-rating-wind-jet-dry-semi-automatic-top-load-washing-machine-grey-white/p/itmc9d497e9b58bb?pid=WMNG4VNTJAUVBCKN&lid=LSTWMNG4VNTJAUVBCKNBMH2FY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=FkPickId_j9e%2Fabm%2F8qx&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=2d90430f-d98a-4570-8beb-5a166b24fe55.WMNG4VNTJAUVBCKN.SEARCH&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey  (RMFA75A5G),"₹12,290",4.2,realme TechLife,RMFA75A5G,7.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-washing-machine-grey/p/itm048aca1726a71?pid=WMNG4XM5CQTNRQHV&lid=LSTWMNG4XM5CQTNRQHVWOSYMQ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=2d90430f-d98a-4570-8beb-5a166b24fe55.WMNG4XM5CQTNRQHV.SEARCH&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey  (WA70BG4441YYTL),"₹17,990",4.3,SAMSUNG,WA70BG4441YYTL,7 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle,https://www.flipkart.com/samsung-7-kg-inverter-5-star-eco-bubble-technology-washing-machine-fully-automatic-top-load-grey/p/itmfad620b791ea9?pid=WMNGGUWZK6VEQPXD&lid=LSTWMNGGUWZK6VEQPXDBGVOA0&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=2d90430f-d98a-4570-8beb-5a166b24fe55.WMNGGUWZK6VEQPXD.SEARCH&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey  (HWM65-FE)","₹12,990",4.3,Haier,HWM65-FE,6.5 kg,"Brown, Grey",800 rpm,Fully Automatic Top Load,No,Pulsator,https://www.flipkart.com/haier-6-5-kg-5-star-oceanus-wave-drum-washing-machine-fully-automatic-top-load-brown-grey/p/itm2c899989a92d7?pid=WMNGFHFPD9KCRH7Y&lid=LSTWMNGFHFPD9KCRH7YJFXO8Y&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=2d90430f-d98a-4570-8beb-5a166b24fe55.WMNGFHFPD9KCRH7Y.SEARCH&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine with In-built Heater White  (WW60R20GLMA/TL),"₹22,990",4.4,SAMSUNG,WW60R20GLMA/TL,6 kg,White,1000 rpm,Fully Automatic Front Load,Yes,Tumble,https://www.flipkart.com/samsung-6-kg-5-star-hygiene-steam-ceramic-heater-fully-automatic-front-load-washing-machine-in-built-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ&lid=LSTWMNFP6FWBB4AMHYJVZX57N&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=2d90430f-d98a-4570-8beb-5a166b24fe55.WMNFP6FWBB4AMHYJ.SEARCH&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
"Haier 9 kg Semi Automatic Top Load Washing Machine White, Blue  (HTW90-1159)","₹13,990",4.2,Haier,HTW90-1159,9 kg,"White, Blue",1300 rpm,Semi Automatic Top Load,No,Dual Color Vortex Pulsator Wash,https://www.flipkart.com/haier-9-kg-semi-automatic-top-load-washing-machine-white-blue/p/itmeux3uxkqvzwxq?pid=WMNEUX3UHPXNBQF6&lid=LSTWMNEUX3UHPXNBQF6VCSCNM&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_q65hgoAN%2F7GtsglddliFz2UjaDXXEJVYqxTaAFCtSPxd%2FQQnX75d%2B7oWUnYDIghIb8Eb8phYjybtRGdUztpWvQ%3D%3D&ppt=None&ppn=None&ssid=7puenfpkls0000001683231987158&qH=b3522a5e7056c9c0
